id_departement;libelle_de_commune;Latitude;Longitude
78;Mousseaux-sur-Seine;49,05127554;1,650455875
95;Pontoise;49,05137379;2,094879289
78;Drocourt;49,05196233;1,7682208
95;Sagy;49,05264612;1,968521216
77;Marchémoret;49,05285525;2,751692814
95;Chauvry;49,05304908;2,26887039
77;Le Plessis-Placy;49,05334688;2,985339369
95;Le Mesnil-Aubry;49,05354305;2,392308691
77;Forfry;49,05359199;2,849610589
77;Dammartin-en-Goële;49,05416905;2,679261042
95;Béthemont-la-Forêt;49,05431709;2,251140286
95;Méry-sur-Oise;49,05484226;2,173972542
78;Port-Villez;49,05796007;1,516336864
95;Baillet-en-France;49,05876344;2,302423902
95;Saint-Cyr-en-Arthies;49,05913061;1,741957905
78;Limetz-Villez;49,05981217;1,550675995
95;Villeron;49,06084298;2,534510975
95;Attainville;49,0609608;2,350436999
95;Longuesse;49,06166267;1,926594212
77;Douy-la-Ramée;49,0618014;2,883514634
95;Vétheuil;49,06202165;1,706721536
78;Lainville-en-Vexin;49,0624169;1,816899519
95;Vémars;49,06285714;2,567230727
95;Puiseux-Pontoise;49,06376421;2,0158675
77;Rouvres;49,06379453;2,718387229
77;Germigny-sous-Coulombs;49,06439549;3,161414639
95;Châtenay-en-France;49,06491541;2,462747376
77;Puisieux;49,06541414;2,915372839
95;Frémainville;49,06629034;1,869614167
95;Vienne-en-Arthies;49,06644101;1,722290129
95;Puiseux-en-France;49,06685041;2,488523409
95;Osny;49,06765899;2,063116785
78;Moisson;49,06825734;1,664150112
77;May-en-Multien;49,06998682;3,025185234
95;Mareil-en-France;49,07003848;2,417537939
77;Moussy-le-Neuf;49,0702568;2,607541827
95;Villiers-Adam;49,07028882;2,239508719
77;Oissery;49,07054404;2,817670142
78;Gommecourt;49,07115573;1,594307035
95;Montsoult;49,07158302;2,303814805
95;Aincourt;49,0728443;1,774034162
95;Courcelles-sur-Viosne;49,07302574;1,99630178
77;Saint-Pathus;49,07375706;2,787942211
95;Villiers-le-Sec;49,07430887;2,3868896
95;Villaines-sous-Bois;49,07537399;2,356636702
77;Vincy-Manoeuvre;49,07600966;2,958137505
95;Mériel;49,07715873;2,213250514
77;Coulombs-en-Valois;49,07774619;3,128147771
95;Ennery;49,0784386;2,109412105
95;Vigny;49,08016556;1,929923237
95;Auvers-sur-Oise;49,08038586;2,154880709
95;Jagny-sous-Bois;49,08142781;2,443995114
95;Marly-la-Ville;49,08150576;2,508717975
77;Othis;49,08272593;2,654226724
95;Haute-Isle;49,08273064;1,662817608
95;Boissy-l'Aillerie;49,08311742;2,032692835
95;Maffliers;49,08362915;2,312333333
95;Butry-sur-Oise;49,08390633;2,191844489
95;Ableiges;49,08577299;1,974865246
95;Saint-Witz;49,08578372;2,55227615
95;Villers-en-Arthies;49,08589993;1,730396299
77;Crouy-sur-Ourcq;49,08674805;3,079646335
95;La Roche-Guyon;49,08748554;1,63442621
95;Avernes;49,08882642;1,870039447
95;Épinay-Champlâtreux;49,09002621;2,407100336
95;Nerville-la-Forêt;49,09035137;2,276250103
95;Théméricourt;49,09038095;1,905322628
95;Montgeroult;49,09080428;2,007870155
95;Chérence;49,09117148;1,681272005
95;Belloy-en-France;49,09223958;2,371761287
95;Bellefontaine;49,09254501;2,469558147
95;Génicourt;49,0948354;2,060727059
95;Lassy;49,09492812;2,437848619
95;Arthies;49,09498607;1,797262537
95;Le Plessis-Luzarches;49,09572967;2,454756443
95;Wy-dit-Joli-Village;49,09581978;1,825028833
95;Valmondois;49,09765007;2,180163195
95;Gadancourt;49,09859795;1,858477706
95;Fosses;49,1000438;2,499064954
95;Livilliers;49,10045742;2,094623911
95;Saint-Martin-du-Tertre;49,10393302;2,334457401
95;Us;49,10480768;1,957646101
95;Hérouville;49,10489391;2,127220469
95;Survilliers;49,10597362;2,544107428
95;L'Isle-Adam;49,10722559;2,234362418
95;Maudétour-en-Vexin;49,10936202;1,777084174
95;Amenucourt;49,11033118;1,650049843
95;Presles;49,11185698;2,286744379
95;Cormeilles-en-Vexin;49,11343293;2,019779166
95;Chaussy;49,11345655;1,703513864
95;Gouzangrez;49,11386444;1,908368796
95;Luzarches;49,11512111;2,44082641
95;Guiry-en-Vexin;49,11584668;1,855689126
95;Le Perchay;49,11640533;1,927390871
95;Genainville;49,11686714;1,754274929
95;Parmain;49,12286991;2,201277887
95;Seugy;49,12302093;2,394795512
95;Viarmes;49,12311079;2,37799676
95;Frémécourt;49,12349592;1,993476872
95;Épiais-Rhus;49,12383632;2,073112532
95;Banthelu;49,12563517;1,81493362
95;Nesles-la-Vallée;49,12604039;2,171762673
95;Commeny;49,12658054;1,888004694
95;Nointel;49,12886919;2,29434376
95;Chaumontel;49,1289963;2,4364333
95;Santeuil;49,12950345;1,958103044
95;Mours;49,13039475;2,264150889
95;Cléry-en-Vexin;49,13192862;1,848164215
95;Grisy-les-Plâtres;49,13323467;2,048461153
95;Labbeville;49,13383057;2,135029242
95;Vallangoujard;49,13407499;2,103933448
95;Noisy-sur-Oise;49,13466767;2,328483044
95;Moussy;49,13499381;1,908680357
95;Charmont;49,13708703;1,789874143
95;Brignancourt;49,13955373;1,943521002
95;Beaumont-sur-Oise;49,14009811;2,300212672
95;Asnières-sur-Oise;49,14073386;2,380059726
95;Hodent;49,14217049;1,762430658
95;Bray-et-Lû;49,14219531;1,665756568
95;Omerville;49,14274078;1,7222479
95;Champagne-sur-Oise;49,14277591;2,228016806
95;Marines;49,14804486;1,983760193
95;Bréançon;49,14934812;2,023071089
95;Le Bellay-en-Vexin;49,14935583;1,878608171
95;Persan;49,14974417;2,269783932
95;Ambleville;49,15095333;1,694953335
95;Menouville;49,15323556;2,10779434
95;Theuville;49,15679654;2,069166354
95;Frouville;49,157487;2,146590928
95;Chars;49,15760207;1,931531332
95;Hédouville;49,15849636;2,177680345
95;Magny-en-Vexin;49,15861756;1,810393221
95;Nucourt;49,15953932;1,856434093
95;Bruyères-sur-Oise;49,16101253;2,328783006
95;Bernes-sur-Oise;49,16541333;2,301276337
95;Saint-Gervais;49,16690767;1,761663505
95;Le Heaulme;49,16699182;2,000401472
95;Ronquerolles;49,16770391;2,213416666
95;Montreuil-sur-Epte;49,17049505;1,686153849
95;Neuilly-en-Vexin;49,17378477;1,980231533
95;Arronville;49,1740737;2,11287557
95;Haravilliers;49,17526445;2,03713061
95;La Chapelle-en-Vexin;49,18351394;1,728554959
95;Buhy;49,19175014;1,702775506
95;Berville;49,19249432;2,070914171
95;Saint-Clair-sur-Epte;49,21315419;1,70318156
