ville;mediane_niveau_de_vie_2019;part_menages_fiscaux_imposés_2019
Saint-Alban;21210;
Saint-André-de-Bâgé;22440;
Saint-André-de-Corcy;24430;65
Saint-André-d'Huiriat;22550;
Saint-André-le-Bouchoux;22010;
Saint-André-sur-Vieux-Jonc;22160;
Saint-Bénigne;22270;
Groslée-Saint-Benoit;21270;
Saint-Bernard;28910;
Sainte-Croix;26170;
Saint-Cyr-sur-Menthon;21380;
Saint-Denis-lès-Bourg;23930;64
Saint-Denis-en-Bugey;22120;55
Saint-Didier-d'Aussiat;21910;
Saint-Didier-de-Formans;26250;70
Saint-Didier-sur-Chalaronne;21630;53
Saint-Éloi;25510;
Saint-Étienne-du-Bois;22690;58
Saint-Étienne-sur-Chalaronne;22030;
Saint-Étienne-sur-Reyssouze;20170;
Sainte-Euphémie;25210;
Saint-Genis-Pouilly;28900;41
Saint-Genis-sur-Menthon;21640;
Saint-Georges-sur-Renon;25060;
Saint-Germain-de-Joux;19710;
Saint-Germain-les-Paroisses;21710;
Saint-Germain-sur-Renon;23370;
Saint-Jean-de-Gonville;37070;
Saint-Jean-de-Niost;26180;
Saint-Jean-de-Thurigneux;26350;
Saint-Jean-le-Vieux;21890;
Saint-Jean-sur-Reyssouze;21220;
Saint-Jean-sur-Veyle;22670;
Sainte-Julie;23410;
Saint-Julien-sur-Reyssouze;20250;
Saint-Julien-sur-Veyle;21490;
Saint-Just;24850;
Saint-Laurent-sur-Saône;18290;
Saint-Marcel;23530;
Saint-Martin-de-Bavel;23580;
Saint-Martin-du-Frêne;22560;
Saint-Martin-du-Mont;23980;
Saint-Martin-le-Châtel;22860;
Saint-Maurice-de-Beynost;21640;53
Saint-Maurice-de-Gourdans;25150;66
Saint-Maurice-de-Rémens;21400;
Saint-Nizier-le-Bouchoux;20360;
Saint-Nizier-le-Désert;21460;
Sainte-Olive;25790;
Saint-Paul-de-Varax;20690;
Saint-Rambert-en-Bugey;18050;38
Saint-Rémy;25080;
Saint-Sorlin-en-Bugey;24860;
Saint-Sulpice;21810;
Saint-Trivier-de-Courtes;19630;
Saint-Trivier-sur-Moignans;21840;
Saint-Vulbas;23080;
Salavre;22110;
Samognat;24330;
Sandrans;23490;
Sault-Brénaz;19680;
Sauverny;36380;
Savigneux;23910;
Ségny;40490;
Seillonnaz;22010;
Sergy;41000;
Sermoyer;20330;
Serrières-de-Briord;20660;
Serrières-sur-Ain;22100;
Servas;20330;
Servignat;21000;
Seyssel;22120;
Simandre-sur-Suran;21350;
Sonthonnax-la-Montagne;24350;
Souclin;21730;
Sulignat;22930;
Talissieu;21540;
Tenay;18740;
Thil;28820;
Thoiry;34660;49
Thoissey;18640;
Torcieu;21660;
Tossiat;23310;
Toussieux;24650;
Tramoyes;29280;
La Tranclière;22290;
Val-Revermont;22240;55
Trévoux;21600;54
Valeins;23770;
Vandeins;22300;
Varambon;21870;
Vaux-en-Bugey;23360;
Verjon;22470;
Vernoux;18770;
Versailleux;24080;
Versonnex;35910;58
Vesancy;37770;
Vescours;19860;
Vésines;;
Vieu-d'Izenave;20850;
Villars-les-Dombes;22980;55
Villebois;21230;
Villemotier;20990;
Villeneuve;23570;
Villereversure;20250;
Villes;28040;
Villette-sur-Ain;25170;
Villieu-Loyes-Mollon;24750;61
Viriat;23250;62
Virieu-le-Grand;19910;
Arvière-en-Valromey;21330;
Virignin;21380;
Vongnes;;
Vonnas;20400;47
Abbécourt;19100;
Achery;20030;
Acy;21240;
Agnicourt-et-Séchelles;17520;
Aguilcourt;22540;
Aisonville-et-Bernoville;21000;
