ville;mediane_niveau_de_vie_2019;part_menages_fiscaux_imposés_2019
Essarois;;
Essey;21180;
Étais;;
Étalante;20110;
L'Étang-Vergy;22050;
Étaules;29790;
Étevaux;24170;
Étormay;;
Étrochey;20140;
Fain-lès-Montbard;21680;
Fain-lès-Moutiers;19560;
Fauverney;25970;
Faverolles-lès-Lucey;;
Fénay;25850;
Le Fête;;
Fixin;28730;
Flacey;24850;
Flagey-Echézeaux;25070;
Flagey-lès-Auxonne;23390;
Flammerans;21950;
Flavignerot;25650;
Flavigny-sur-Ozerain;21690;
Le Val-Larrey;20250;
Fleurey-sur-Ouche;26530;
Foissy;20540;
Foncegrive;20440;
Fontaines-en-Duesmois;17490;
Fontaine-Française;21030;
Fontaine-lès-Dijon;27240;71
Fontaines-les-Sèches;;
Fontangy;19960;
Fontenelle;20050;
Forléans;20240;
Fraignot-et-Vesvrotte;;
Francheville;23090;
Franxault;19570;
Frénois;;
Fresnes;20050;
Frôlois;17630;
Fussey;24970;
Gemeaux;23970;
Genay;20910;
Genlis;20620;49
Gergueil;23350;
Gerland;23810;
Gevrey-Chambertin;21930;57
Gevrolles;20320;
Gilly-lès-Cîteaux;26140;
Gissey-le-Vieil;22870;
Gissey-sous-Flavigny;;
Gissey-sur-Ouche;22970;
Glanon;19790;
Gomméville;19480;
Les Goulles;;
Grancey-le-Château-Neuvelle;20070;
Grancey-sur-Ource;18230;
Grenant-lès-Sombernon;22320;
Grésigny-Sainte-Reine;23100;
Grignon;20720;
Griselles;17560;
Grosbois-en-Montagne;;
Grosbois-lès-Tichey;;
Gurgy-la-Ville;;
Gurgy-le-Château;;
Hauteroche;;
Hauteville-lès-Dijon;29090;
Heuilley-sur-Saône;18510;
Is-sur-Tille;20480;49
Izeure;22750;
Izier;25330;
Jailly-les-Moulins;;
Jallanges;19780;
Jancigny;21560;
Jeux-lès-Bard;;
Jouey;20050;
Jours-lès-Baigneux;;
Val-Mont;17630;
Juillenay;;
Juilly;;
Labergement-Foigney;23610;
Labergement-lès-Auxonne;20430;
Labergement-lès-Seurre;21020;
Labruyère;20690;
Lacanche;19370;
Lacour-d'Arcenay;18090;
Laignes;18550;
Lamarche-sur-Saône;20210;
Lamargelle;21060;
Lantenay;24140;
Lanthes;18350;
Lantilly;20230;
Laperrière-sur-Saône;20090;
Larrey;;
Lechâtelet;20430;
Léry;17320;
Leuglay;19160;
Levernois;29630;
Licey-sur-Vingeanne;20940;
Liernais;19050;
Lignerolles;;
Longchamp;22260;
Longeault-Pluvault;23830;
Longecourt-en-Plaine;22840;
Longecourt-lès-Culêtre;;
Longvic;20090;50
Losne;19470;
Louesme;19680;
Lucenay-le-Duc;20320;
Lucey;;
Lusigny-sur-Ouche;24640;
Lux;22190;
Maconge;20200;
Magnien;20650;
Magny-Lambert;;
Magny-la-Ville;;
Magny-lès-Aubigny;20940;
Magny-Montarlot;20870;
Magny-lès-Villers;25840;
Magny-Saint-Médard;24170;
Magny-sur-Tille;25480;
Les Maillys;19470;
Maisey-le-Duc;;
Mâlain;22360;
Maligny;23220;
Manlay;19360;
Marandeuil;22660;
Marcellois;;
Marcenay;;
Marcheseuil;19470;
Marcigny-sous-Thil;;
Marcilly-et-Dracy;;
Marcilly-Ogny;20380;
Marcilly-sur-Tille;21700;
Marey-lès-Fussey;;
Marey-sur-Tille;22920;
Marigny-le-Cahouët;21320;
Marigny-lès-Reullée;22320;
Marliens;22860;
Marmagne;25230;
Marsannay-la-Côte;22480;58
Marsannay-le-Bois;26110;
Martrois;;
Massingy;19680;
Massingy-lès-Semur;21130;
Massingy-lès-Vitteaux;;
Mauvilly;;
Mavilly-Mandelot;21620;
Maxilly-sur-Saône;19620;
Meilly-sur-Rouvres;24520;
Le Meix;;
Meloisey;25540;
Menesble;;
Ménessaire;;
Ménétreux-le-Pitois;22150;
Merceuil;22200;
Mesmont;23780;
Messanges;26000;
Messigny-et-Vantoux;29240;
Meuilley;24330;
Meulson;;
Meursanges;24700;
Meursault;24000;
Millery;22660;
Mimeure;21440;
Minot;21570;
Mirebeau-sur-Bèze;21880;
Missery;21700;
Moitron;;
Molesme;19630;
Molinot;19670;
Moloy;20500;
Molphey;19220;
Montagny-lès-Beaune;24210;
Montagny-lès-Seurre;21050;
Montbard;18330;40
Montberthault;21560;
Montceau-et-Écharnant;21840;
Monthelie;24710;
Montigny-Montfort;21900;
Montigny-Saint-Barthélemy;;
Montigny-sur-Armançon;22700;
Montigny-sur-Aube;21330;
Montigny-Mornay-Villeneuve-sur-Vingeanne;20130;
Montlay-en-Auxois;18450;
Montliot-et-Courcelles;20260;
Montmain;19740;
Montmançon;22390;
Montmoyen;;
Montoillot;22600;
Montot;23040;
Mont-Saint-Jean;18550;
Morey-Saint-Denis;26000;
Mosson;;
La Motte-Ternant;21850;
Moutiers-Saint-Jean;21220;
Musigny;;
Mussy-la-Fosse;;
Nan-sous-Thil;18380;
Nantoux;24830;
Nesle-et-Massoult;;
Neuilly-Crimolois;22340;58
Nicey;20530;
Nod-sur-Seine;19540;
Nogent-lès-Montbard;21340;
Noidan;;
Noiron-sous-Gevrey;24250;
Noiron-sur-Bèze;23110;
Noiron-sur-Seine;;
Nolay;20260;
Norges-la-Ville;27730;
Normier;;
Nuits-Saint-Georges;21090;50
Obtrée;;
Oigny;;
Oisilly;20590;
Orain;22540;
Orgeux;24910;
Origny;;
Orret;;
Orville;21630;
Ouges;22990;
Pagny-la-Ville;18780;
Pagny-le-Château;20770;
Painblanc;18110;
Panges;;
Pasques;24310;
Pellerey;;
Pernand-Vergelesses;25880;
Perrigny-lès-Dijon;24370;
Perrigny-sur-l'Ognon;20600;
Pichanges;25070;
Planay;;
Plombières-lès-Dijon;21380;55
Pluvet;23360;
Poinçon-lès-Larrey;19040;
Poiseul-la-Grange;;
Poiseul-la-Ville-et-Laperrière;18380;
Poiseul-lès-Saulx;;
Pommard;26940;
Poncey-lès-Athée;20560;
Poncey-sur-l'Ignon;;
Pont;21600;
Pontailler-sur-Saône;19690;
Pont-et-Massène;23850;
Posanges;;
Pothières;17580;
Pouillenay;20340;
Pouilly-en-Auxois;20950;
Pouilly-sur-Saône;19950;
Pouilly-sur-Vingeanne;20380;
Prâlon;;
Précy-sous-Thil;19230;
Premeaux-Prissey;22010;
Prenois;25530;
Prusly-sur-Ource;22810;
Puits;21210;
Puligny-Montrachet;27040;
Quemigny-sur-Seine;18860;
Quetigny;20730;54
Quincerot;;
Quincey;24380;
Quincy-le-Vicomte;20500;
Recey-sur-Ource;19380;
Remilly-en-Montagne;23430;
Remilly-sur-Tille;24280;
Renève;21760;
Reulle-Vergy;23690;
Riel-les-Eaux;;
La Roche-en-Brenil;19190;
Rochefort-sur-Brévon;;
La Rochepot;22640;
La Roche-Vanneau;18970;
Roilly;;
Rougemont;21080;
Rouvray;19930;
Rouvres-en-Plaine;24880;
Rouvres-sous-Meilly;;
Ruffey-lès-Beaune;24810;
Ruffey-lès-Echirey;25810;
Sacquenay;21140;
Saffres;18980;
Saint-Andeux;20300;
Saint-Anthot;;
Saint-Apollinaire;23580;64
Saint-Aubin;30280;
Saint-Bernard;22800;
Saint-Broing-les-Moines;21000;
Sainte-Colombe-en-Auxois;;
Sainte-Colombe-sur-Seine;19340;
Saint-Didier;20300;
Saint-Euphrône;22080;
Saint-Germain-de-Modéon;18640;
Saint-Germain-le-Rocheux;;
Saint-Germain-lès-Senailly;20510;
Saint-Hélier;;
Saint-Jean-de-Bœuf;23470;
Saint-Jean-de-Losne;16570;
Saint-Julien;25430;
Saint-Léger-Triey;21890;
Saint-Marc-sur-Seine;19490;
Sainte-Marie-la-Blanche;23850;
Sainte-Marie-sur-Ouche;24030;
Saint-Martin-de-la-Mer;19960;
Saint-Martin-du-Mont;22520;
Saint-Maurice-sur-Vingeanne;18010;
Saint-Mesmin;22650;
Saint-Nicolas-lès-Cîteaux;21530;
Saint-Philibert;24660;
Saint-Pierre-en-Vaux;17580;
Saint-Prix-lès-Arnay;19170;
Saint-Rémy;21000;
Saint-Romain;25120;
Sainte-Sabine;20560;
Saint-Sauveur;20180;
Saint-Seine-en-Bâche;21040;
Saint-Seine-l'Abbaye;20650;
Saint-Seine-sur-Vingeanne;20980;
Saint-Symphorien-sur-Saône;18910;
Saint-Thibault;17520;
Saint-Usage;19470;
Saint-Victor-sur-Ouche;24150;
Salives;21130;
Salmaise;20000;
Samerey;21520;
Santenay;22910;
Santosse;;
Saulieu;18440;40
Saulon-la-Chapelle;23410;
Saulon-la-Rue;24670;
Saulx-le-Duc;22470;
Saussey;;
Saussy;21400;
Savigny-lès-Beaune;24220;
Savigny-le-Sec;27660;
Savigny-sous-Mâlain;24120;
Savilly;;
Savoisy;19160;
Savolles;23340;
Savouges;24280;
Segrois;;
Seigny;22380;
Selongey;21770;56
Semarey;24240;
Semezanges;24250;
Semond;;
Semur-en-Auxois;20210;48
Senailly;19800;
Sennecey-lès-Dijon;23490;66
Ladoix-Serrigny;23020;
Seurre;18900;41
Sincey-lès-Rouvray;;
Soirans;22280;
Soissons-sur-Nacey;20510;
Sombernon;21730;
Souhey;;
Soussey-sur-Brionne;23110;
Spoy;23810;
Sussey;18980;
Tailly;29150;
Talant;22030;57
Talmay;19700;
Tanay;20460;
Tarsul;24010;
Tart-le-Bas;22480;
Tart;23440;
Tellecey;22880;
Ternant;;
Terrefondrée;;
Thenissey;20080;
Thoires;;
Thoisy-la-Berchère;18960;
Thoisy-le-Désert;22040;
Thomirey;;
Thorey-en-Plaine;23570;
Thorey-sous-Charny;22830;
Thorey-sur-Ouche;20680;
Thoste;21200;
Thury;20060;
Tichey;19050;
Til-Châtel;22590;
Tillenay;21400;
Torcy-et-Pouligny;21100;
Touillon;21480;
Toutry;17600;
Tréclun;22520;
Trochères;22700;
Trouhans;19790;
Trouhaut;20890;
Trugny;20010;
Turcey;22020;
Uncey-le-Franc;;
Urcy;23520;
Val-Suzon;22840;
Vandenesse-en-Auxois;21830;
Vannaire;;
Vanvey;17490;
Varanges;23220;
Varois-et-Chaignot;28000;78
Vaux-Saules;21220;
Veilly;;
Velars-sur-Ouche;24550;
Velogny;;
Venarey-les-Laumes;18830;44
Verdonnet;;
Vernois-lès-Vesvres;20390;
Vernot;;
Véronnes;23900;
Verrey-sous-Drée;;
Verrey-sous-Salmaise;19550;
Vertault;;
Vesvres;;
Veuvey-sur-Ouche;20990;
Veuxhaulles-sur-Aube;18920;
Vianges;;
Vic-de-Chassenay;21050;
Vic-des-Prés;19440;
Vic-sous-Thil;20420;
Vieilmoulin;19880;
Vielverge;19720;
Vieux-Château;;
Viévigne;22440;
Viévy;18120;
Vignoles;23990;
Villaines-en-Duesmois;19930;
Villaines-les-Prévôtes;25170;
Villargoix;21530;
Villars-Fontaine;26800;
Villars-et-Villenotte;25450;
Villeberny;;
Villebichot;25080;
Villecomte;25420;
Villedieu;;
Villeferry;;
La Villeneuve-les-Convers;;
Villeneuve-sous-Charigny;;
Villers-la-Faye;24530;
Villers-les-Pots;21440;
Villers-Patras;;
Villers-Rotin;22240;
Villey-sur-Tille;24600;
Villiers-en-Morvan;;
Villiers-le-Duc;;
Villotte-Saint-Seine;;
Villotte-sur-Ource;21720;
Villy-en-Auxois;18180;
Villy-le-Moutier;22610;
Viserny;21600;
Vitteaux;18890;
Vix;20530;
Volnay;25110;
Vonges;20160;
Vosne-Romanée;27340;
Voudenay;18460;
Vougeot;25620;
Voulaines-les-Templiers;17950;
Allineuc;19360;
Andel;21310;
Aucaleuc;20530;
Bégard;19930;43
Belle-Isle-en-Terre;18410;
Berhet;17950;
Bobital;21730;
Le Bodéo;18010;
Boqueho;19740;
La Bouillie;20660;
Bourbriac;19190;38
Bourseul;19760;
Bréhand;21000;
Île-de-Bréhat;23470;
Brélidy;19890;
Bringolo;21170;
Broons;20220;43
Brusvily;19640;
Bulat-Pestivien;16690;
Calanhel;16790;
Callac;17730;36
Calorguen;19550;
Le Cambout;18890;
Camlez;19920;
Canihuel;18100;
Caouënnec-Lanvézéac;19970;
Carnoët;17170;
Caulnes;20230;43
Caurel;19530;
Cavan;19930;
Les Champs-Géraux;20640;
La Chapelle-Blanche;20810;
La Chapelle-Neuve;16100;
La Chèze;18360;
Coadout;20690;
Coatascorn;18460;
Coatréven;19860;
Coëtlogon;17420;
Coëtmieux;22330;
Cohiniac;21150;
Le Mené;19270;43
Corlay;18890;
Corseul;20110;48
Créhen;20270;
Dinan;21070;48
Duault;18870;
Éréac;18650;
Erquy;22890;57
Binic-Étables-sur-Mer;23400;59
Évran;19300;
Le Faouët;18640;
Le Fœil;20470;
Gausson;20370;
Glomel;18490;
Gomené;20320;
Gommenec'h;19560;
Gouarec;19300;
Goudelin;20010;
Grâces;21110;49
Grâce-Uzel;18450;
Guenroc;19500;
Guingamp;16850;33
Guitté;19020;
Gurunhuel;18260;
La Harmoye;19320;
Le Haut-Corlay;20470;
Hémonstoir;19110;
Hénanbihen;20020;
Hénansal;20240;
Hénon;20510;42
Hillion;21980;56
Le Hinglé;21360;
Illifaut;18810;
Jugon-les-Lacs - Commune nouvelle;19940;41
Kerbors;22640;
Kerfot;20870;
Kergrist-Moëlou;17410;
Kerien;16820;
Kermaria-Sulard;20730;
Kermoroc'h;18980;
Kerpert;15950;
Lamballe-Armor;21280;50
Lancieux;24640;
Landebaëron;18990;
Landébia;18010;
La Landec;19920;
Landéhen;21510;
Lanfains;19950;
Langoat;19960;
Langrolay-sur-Rance;23030;
Languédias;17940;
Languenan;19450;
Langueux;21840;56
Bon Repos sur Blavet;18890;
Lanleff;21260;
Lanloup;21670;
Lanmérin;18630;
Lanmodez;20480;
Lannebert;20990;
Lannion;21240;51
Lanrelas;19080;
Lanrivain;17770;
Lanrodec;19930;
Lantic;21380;
Lanvallay;22020;52
Lanvellec;19400;
Lanvollon;20110;
Laurenan;19080;
Lescouët-Gouarec;16130;
Le Leslay;19930;
Lézardrieux;20770;
Locarn;17720;
Loc-Envel;;
Loguivy-Plougras;17710;
Lohuec;15500;
Loscouët-sur-Meu;20340;
Louannec;24520;66
Louargat;19390;39
Loudéac;20140;47
Maël-Carhaix;18390;
Maël-Pestivien;15030;
Magoar;;
La Malhoure;21110;
Mantallot;18270;
Matignon;20890;
La Méaugon;21760;
Mégrit;18880;
Mellionnec;17200;
Merdrignac;19740;41
Mérillac;18320;
Merléac;19540;
Le Merzer;20150;
Minihy-Tréguier;20460;
Moncontour;19660;
La Motte;20510;49
Moustéru;18960;
Le Moustoir;20070;
Guerlédan;19720;44
Noyal;22370;
Pabu;21360;52
Paimpol;21120;48
Paule;18390;
Pédernec;20160;
Penguily;20760;
Penvénan;22030;50
Perros-Guirec;23820;57
Peumerit-Quintin;18900;
Plaine-Haute;20350;
Plaintel;21220;50
Plancoët;19630;43
Pléboulle;20710;
Plédéliac;20250;
Plédran;20990;51
Pléguien;19990;
Pléhédel;20120;
Fréhel;20930;
Plélan-le-Petit;21400;
Plélauff;20330;
Plélo;21590;48
Plémet;19930;40
Plémy;19340;
Plénée-Jugon;20040;43
Pléneuf-Val-André;24280;60
Plérin;23210;57
Plerneuf;20780;
Plésidy;18940;
Pleslin-Trigavou;20590;46
Plestan;20660;
Plestin-les-Grèves;21360;53
Pleubian;20150;43
Pleudaniel;19900;
Pleudihen-sur-Rance;21550;49
Pleumeur-Bodou;23330;57
Pleumeur-Gautier;18950;
Pléven;19450;
Plévenon;22250;
Plévin;18350;
Plœuc-L'Hermitage;19660;41
Ploëzal;18870;
Plorec-sur-Arguenon;19580;
Châtelaudren-Plouagat;20150;43
Plouaret;19520;42
Plouasne;18680;
Beaussais-sur-Mer;20980;49
Ploubazlanec;22450;53
Ploubezre;21440;53
Plouëc-du-Trieux;18630;
Plouër-sur-Rance;22480;53
Plouézec;20970;51
Ploufragan;20480;48
Plougonver;18240;
Plougras;17390;
Plougrescant;19840;
Plouguenast-Langast;19440;43
Plouguernével;20780;
Plouguiel;18970;
Plouha;20670;48
Plouisy;20100;
Ploulec'h;22320;
Ploumagoar;20550;46
Ploumilliau;20050;46
Plounérin;19120;
Plounévez-Moëdec;18590;
Plounévez-Quintin;18730;
Plourac'h;17840;
Plourhan;21460;51
Plourivo;20110;47
Plouvara;19100;
Plouzélambre;19240;
Pludual;20330;
Pluduno;21090;50
Plufur;18210;
Plumaudan;19930;
Plumaugat;18910;
Plumieux;19320;
Plurien;20380;
Plusquellec;18690;
Plussulien;18190;
Pluzunet;19230;
Pommeret;21370;51
Pommerit-le-Vicomte;19030;
Pont-Melvez;18610;
Pontrieux;17200;
Pordic;23130;58
Prat;19380;
La Prénessaye;19240;
Quemper-Guézennec;19560;
Quemperven;19670;
Quessoy;20820;47
Quévert;21620;54
Le Quillio;20900;
Quintenic;19970;
Quintin;20190;44
Le Quiou;19060;
La Roche-Jaudy;19450;40
Rospez;20920;
Rostrenen;18600;37
Rouillac;18810;
Ruca;20000;
Runan;17000;
Saint-Adrien;20330;
Saint-Agathon;21570;51
Saint-Alban;20780;51
Saint-André-des-Eaux;21840;
Saint-Barnabé;20150;
Saint-Bihy;21490;
Saint-Brandan;20600;46
Saint-Brieuc;19180;45
Saint-Caradec;19890;
Saint-Carné;20830;
Saint-Carreuc;20790;
Saint-Cast-le-Guildo;23190;56
Saint-Clet;18960;
Saint-Connan;19610;
Saint-Connec;17910;
Saint-Denoual;21200;
Saint-Donan;21230;
Saint-Étienne-du-Gué-de-l'Isle;18600;
Saint-Fiacre;19320;
Saint-Gildas;19590;
Saint-Gilles-les-Bois;18870;
Saint-Gilles-Pligeaux;17200;
Saint-Gilles-Vieux-Marché;18990;
Saint-Glen;20930;
Saint-Hélen;20420;
Saint-Hervé;19660;
Saint-Jacut-de-la-Mer;23080;
Saint-Jean-Kerdaniel;19780;
Saint-Jouan-de-l'Isle;20310;
Saint-Judoce;21550;
Saint-Julien;21190;54
Saint-Juvat;19650;
Saint-Launeuc;19660;
Saint-Laurent;19240;
Saint-Lormel;21070;
Saint-Maden;19930;
Saint-Martin-des-Prés;19290;
Saint-Maudan;19320;
Saint-Maudez;21290;
Saint-Mayeux;16360;
Saint-Méloir-des-Bois;18810;
Saint-Michel-de-Plélan;19730;
Saint-Michel-en-Grève;22290;
Saint-Nicodème;16490;
Saint-Nicolas-du-Pélem;19100;
Saint-Péver;19150;
Saint-Pôtan;19490;
Saint-Quay-Perros;23850;
Saint-Quay-Portrieux;23110;57
Saint-Rieul;19320;
Saint-Samson-sur-Rance;21450;
Saint-Servais;18600;
Saint-Thélo;19490;
Sainte-Tréphine;17880;
Saint-Trimoël;21580;
Saint-Vran;18590;
Saint-Igeaux;19410;
Senven-Léhart;18060;
Sévignac;18590;
Squiffiec;18890;
Taden;21350;54
Tonquédec;19790;
Tramain;21160;
Trébédan;17980;
Trébeurden;24010;59
Trébrivan;19610;
Trébry;20740;
Trédaniel;20680;
Trédarzec;20460;
Trédias;19140;
Trédrez-Locquémeau;20970;
Tréduder;20260;
Treffrin;21090;
Tréfumel;20620;
Trégastel;23000;57
Tréglamus;19960;
Trégomeur;22360;
Trégonneau;19440;
Trégrom;17120;
Trégueux;21450;53
Tréguidel;20130;
Tréguier;18590;38
Trélévern;23660;
Trélivan;21390;52
Trémargat;16860;
Trémel;20000;
Tréméreuc;22010;
Trémeur;20500;
Tréméven;19100;
Trémorel;20520;
Trémuson;21050;51
Tréogan;;
Tressignaux;20870;
Trévé;20310;
Tréveneuc;22490;
Trévérec;18430;
Trévou-Tréguignec;22730;
Trévron;19970;
Trézény;21470;
Troguéry;18190;
Uzel;19860;
La Vicomté-sur-Rance;21030;
Le Vieux-Bourg;19580;
Le Vieux-Marché;19320;
Vildé-Guingalan;20020;
Yffiniac;21090;51
Yvias;19590;
Yvignac-la-Tour;19110;
Ahun;18730;
Ajain;20740;
Alleyrat;20050;
Anzême;19620;
Arfeuille-Châtain;16450;
Arrènes;19120;
Ars;17810;
Aubusson;17310;37
Auge;;
Augères;16630;
Aulon;21430;
Auriat;16880;
Auzances;18520;
Azat-Châtenet;17830;
Azerables;19590;
Banize;17420;
Basville;18330;
Bazelat;19240;
Beissat;;
Bellegarde-en-Marche;19740;
Bénévent-l'Abbaye;18250;
Bétête;18120;
Blaudeix;;
Blessac;19560;
Bonnat;19090;
Bord-Saint-Georges;16350;
Bosmoreau-les-Mines;16470;
Bosroger;;
Le Bourg-d'Hem;18750;
Bourganeuf;16390;34
Boussac;17450;
Boussac-Bourg;18950;
La Brionne;20260;
Brousse;;
Budelière;19590;
Bussière-Dunoise;19760;
Bussière-Nouvelle;;
Bussière-Saint-Georges;18400;
La Celle-Dunoise;20120;
La Celle-sous-Gouzon;18190;
La Cellette;18520;
Ceyroux;17490;
Chamberaud;20020;
Chambon-Sainte-Croix;;
Chambon-sur-Voueize;18020;
Chambonchard;;
Chamborand;19580;
Champagnat;17160;
Champsanglard;19180;
La Chapelle-Baloue;17420;
La Chapelle-Saint-Martial;;
La Chapelle-Taillefert;21640;
Chard;17940;
Charron;17270;
Châtelard;;
Châtelus-le-Marcheix;17430;
Châtelus-Malvaleix;18800;
Le Chauchet;19180;
La Chaussade;18930;
Chavanat;16730;
Chénérailles;18120;
Chéniers;17900;
Clairavaux;18810;
Clugnat;18800;
Colondannes;17490;
Le Compas;16170;
La Courtine;19550;
Cressat;18350;
Crocq;17480;
Crozant;16550;
Croze;17460;
Domeyrot;19090;
Dontreix;18050;
Le Donzeil;19240;
Dun-le-Palestel;19260;
Évaux-les-Bains;19010;
Faux-la-Montagne;15820;
Faux-Mazuras;19220;
Felletin;18500;
Féniers;;
Flayat;18160;
Fleurat;20850;
Fontanières;18360;
La Forêt-du-Temple;16870;
Fransèches;20160;
Fresselines;17540;
Gartempe;19900;
Genouillac;17670;
Gentioux-Pigerolles;17070;
Gioux;17670;
Glénic;22100;
Gouzon;19310;
Le Grand-Bourg;18800;
Guéret;19590;47
Issoudun-Létrieix;18200;
Jalesches;;
Janaillat;18790;
Jarnages;18770;
Jouillat;20590;
Ladapeyre;15900;
Lafat;16840;
Lavaufranche;17510;
Lavaveix-les-Mines;16560;
Lépaud;18960;
Lépinas;19890;
Leyrat;15110;
Linard-Malval;16810;
Lioux-les-Monges;;
Lizières;18080;
Lourdoueix-Saint-Pierre;18410;
Lupersat;17180;
Lussat;18380;
Magnat-l'Étrange;15720;
Mainsat;17680;
Maison-Feyne;19930;
Maisonnisses;17180;
Malleret;;
Malleret-Boussac;15980;
Mansat-la-Courrière;;
Les Mars;18140;
Marsac;18100;
Le Mas-d'Artige;17830;
Mautes;15810;
Mazeirat;21480;
La Mazière-aux-Bons-Hommes;;
Méasnes;17920;
Mérinchal;17240;
Montaigut-le-Blanc;18280;
Montboucher;19080;
Le Monteil-au-Vicomte;16410;
Mortroux;17040;
Mourioux-Vieilleville;17590;
Moutier-d'Ahun;16620;
Moutier-Malcard;17120;
Moutier-Rozeille;19710;
Naillat;19740;
Néoux;19120;
Noth;19700;
La Nouaille;17340;
Nouhant;16950;
Nouzerines;18450;
Nouzerolles;;
Nouziers;18310;
Parsac-Rimondeix;19430;
Peyrabout;19360;
Peyrat-la-Nonière;16950;
Pierrefitte;;
Pionnat;19810;
Pontarion;20140;
Pontcharraud;;
La Pouge;;
Poussanges;19410;
Puy-Malsignat;16970;
Reterre;16920;
Roches;17490;
Rougnat;17280;
Royère-de-Vassivière;19700;
Sagnat;18740;
Sannat;16360;
Sardent;19670;
La Saunière;21480;
Savennes;21240;
Sermur;15620;
La Serre-Bussière-Vieille;16100;
Soubrebost;20030;
Soumans;17620;
Sous-Parsat;24120;
La Souterraine;18590;39
Saint-Agnant-de-Versillat;19840;
Saint-Agnant-près-Crocq;14170;
Saint-Alpinien;18270;
Saint-Amand;19390;
Saint-Amand-Jartoudeix;16430;
Saint-Avit-de-Tardes;18260;
Saint-Avit-le-Pauvre;;
Saint-Bard;17250;
Saint-Chabrais;17130;
Saint-Christophe;24810;
Saint-Dizier-la-Tour;17010;
Saint-Dizier-les-Domaines;20280;
Saint-Dizier-Masbaraud;18300;
Saint-Domet;15680;
Saint-Éloi;18480;
Fursac;19180;
Sainte-Feyre;22530;59
Sainte-Feyre-la-Montagne;19370;
Saint-Fiel;22040;
Saint-Frion;17890;
Saint-Georges-la-Pouge;16930;
Saint-Georges-Nigremont;16370;
Saint-Germain-Beaupré;18220;
Saint-Goussaud;18970;
Saint-Hilaire-la-Plaine;21460;
Saint-Hilaire-le-Château;18430;
Saint-Julien-la-Genête;19010;
Saint-Julien-le-Châtel;17790;
Saint-Junien-la-Bregère;15250;
Saint-Laurent;21270;
Saint-Léger-Bridereix;18780;
Saint-Léger-le-Guérétois;20680;
Saint-Loup;19240;
Saint-Maixant;20980;
Saint-Marc-à-Frongier;20550;
Saint-Marc-à-Loubaud;15090;
Saint-Marien;15250;
Saint-Martial-le-Mont;19940;
Saint-Martial-le-Vieux;18650;
Saint-Martin-Château;17350;
Saint-Martin-Sainte-Catherine;17650;
Saint-Maurice-près-Crocq;15520;
Saint-Maurice-la-Souterraine;18690;
Saint-Médard-la-Rochette;17430;
Saint-Merd-la-Breuille;16640;
Saint-Michel-de-Veisse;19660;
Saint-Moreil;16070;
Saint-Oradoux-de-Chirouze;;
Saint-Oradoux-près-Crocq;16170;
Saint-Pardoux-d'Arnet;18880;
Saint-Pardoux-Morterolles;17400;
Saint-Pardoux-le-Neuf;18940;
Saint-Pardoux-les-Cards;17630;
Saint-Pierre-Chérignat;17800;
Saint-Pierre-Bellevue;17430;
Saint-Pierre-le-Bost;19620;
Saint-Priest;15240;
Saint-Priest-la-Feuille;19740;
Saint-Priest-la-Plaine;20090;
Saint-Priest-Palus;;
Saint-Quentin-la-Chabanne;18670;
Saint-Sébastien;18010;
Saint-Silvain-Bas-le-Roc;18950;
Saint-Silvain-Bellegarde;18930;
Saint-Silvain-Montaigut;20310;
Saint-Silvain-sous-Toulx;16540;
Saint-Sulpice-le-Dunois;19290;
Saint-Sulpice-le-Guérétois;21910;55
Saint-Sulpice-les-Champs;18630;
Saint-Vaury;20620;
Saint-Victor-en-Marche;20380;
Saint-Yrieix-la-Montagne;15780;
Saint-Yrieix-les-Bois;17540;
Tardes;18600;
Tercillat;16750;
Thauron;17320;
Toulx-Sainte-Croix;15920;
Trois-Fonds;18190;
Vallière;18480;
Vareilles;18710;
Verneiges;21300;
Vidaillat;16540;
Viersat;16840;
Vigeville;17620;
Villard;19670;
La Villedieu;;
La Villeneuve;;
La Villetelle;16810;
Abjat-sur-Bandiat;18700;
Agonac;21150;
Ajat;19430;
Alles-sur-Dordogne;21020;
Allas-les-Mines;18630;
Allemans;20790;
Angoisse;19050;
Anlhiac;19870;
Annesse-et-Beaulieu;21350;
Antonne-et-Trigonant;21380;
Archignac;19090;
Aubas;18450;
Audrix;18910;
Augignac;19100;
Auriac-du-Périgord;20420;
Azerat;19220;
La Bachellerie;19990;
Badefols-d'Ans;18210;
Badefols-sur-Dordogne;19190;
Baneuil;22650;
Bardou;;
Bars;16360;
Bassillac et Auberoche;21260;49
Bayac;20270;
Beaumontois en Périgord;19720;
Beaupouyet;17400;
Beauregard-de-Terrasson;19400;
Beauregard-et-Bassac;17960;
Beauronne;18000;
Beleymas;20680;
Pays de Belvès;18120;
Berbiguières;18820;
Bergerac;18250;40
Bertric-Burée;19180;
Besse;15260;
Beynac-et-Cazenac;19910;
Biras;20100;
Biron;17400;
Boisse;18770;
Boisseuilh;18370;
Bonneville-et-Saint-Avit-de-Fumadières;19700;
Borrèze;18270;
Bosset;18100;
Bouillac;16480;
Boulazac Isle Manoire;21270;53
Bouniagues;18640;
Bourdeilles;19550;
Le Bourdeix;19450;
Bourg-des-Maisons;;
Bourg-du-Bost;17140;
Bourgnac;18910;
Bourniquel;;
Bourrou;20190;
